wavelet_mean,sample_entropy,shannon_entropy,rms,Label
1.48910222008024e-05,0.4234050246552977,0.346632231237085,2.3877520653276e-05,1
3.218095073654222e-06,1.378832473787283,0.8502510354164033,3.807789961933129e-06,1
3.6005526813914e-06,1.38472044309091,0.8415171822907129,5.13618437531279e-06,0
5.421792548113913e-06,1.204947493371105,0.7841057528665231,5.426087306508714e-06,0
6.372353159684627e-06,1.125635857678982,0.6944590058576816,1.008319211105859e-05,1
1.752104846023145e-05,0.3733652547346531,0.4065682121418024,2.278185371166844e-05,1
7.230334197059071e-06,1.078502759503727,0.5751993680233534,1.214071403202383e-05,1
8.109796182962751e-06,0.2023833511303755,0.3008661501121082,1.966537008810422e-05,1
3.905130738244999e-06,0.997044723534448,0.8164669350533083,5.33662237120958e-06,1
9.78580982180118e-06,1.286846960358212,0.7845958196790034,1.006137076817048e-05,0
1.124903849938028e-05,0.8346989469303973,0.5194097239214798,1.634596061211582e-05,1
7.934503390811718e-06,1.035041863492175,0.6638722078859943,8.139048774039393e-06,1
3.133094753297496e-06,1.452779219153977,0.8607956934394474,2.841997931718709e-06,0
3.720283440695426e-06,1.245184574578818,0.7410122336623541,3.397993052997966e-06,0
5.02359385622459e-06,1.34788985533077,0.7833005404838325,4.928848746176693e-06,0
1.578293074660451e-05,1.144963258580995,0.7018125373851688,1.509568397380417e-05,0
4.308915514357171e-06,1.661452244264036,0.9218365220119308,4.625407817394757e-06,1
1.589916202894965e-05,0.5199472145709159,0.677554615205804,1.729994654979074e-05,1
1.006803248952484e-05,1.367500540430875,0.7621574109360252,9.502957413886804e-06,1
7.607524472034541e-06,1.045651411950745,0.7489344131922476,7.394886921430546e-06,0
8.94680243273862e-06,1.150991816697542,0.6929569199933505,7.362841183847023e-06,0
8.421254400685167e-06,0.9045261257818746,0.4781816855895254,1.552117438594118e-05,1
4.737678171256992e-06,1.442918903099478,0.8094764434884965,4.431476322492662e-06,0
4.396078002098497e-06,1.394833588763175,0.8621504009795362,4.640275287275018e-06,1
7.02866849604233e-06,1.364511945334369,0.8141129665660002,6.341840423685122e-06,1
9.22635536332406e-06,1.005013193915174,0.6998704487989118,9.172535180491655e-06,0
3.639207155024784e-06,1.316488815685713,0.8105577211769506,5.684397319371348e-06,0
6.405380495266737e-06,1.529376904387655,0.7548047870753061,7.078941095492222e-06,1
9.398085606771816e-06,1.244371747645798,0.7638572092197815,8.938237422588528e-06,1
4.38814048098085e-06,1.439934036442802,0.8365350242371828,4.215767410726906e-06,0
4.136559140199479e-06,1.668696591949773,0.9085587721093128,4.265381813788299e-06,1
4.894946201613859e-06,1.240515783396735,0.7837317159539727,5.086390057570795e-06,0
4.971746567150853e-06,1.416050254282476,0.8272841135967159,7.103684408282185e-06,1
4.634701800233275e-06,1.261655462320333,0.8159958941690117,4.740859050486233e-06,0
1.119741351913408e-05,0.5618431397817347,0.4601730079258134,1.286216712965944e-05,1
3.27781056452953e-05,0.2572435874767237,0.4202855236063251,3.593324109182841e-05,1
2.390211647614245e-06,1.646819619253736,0.8886006391428711,2.360370530714733e-06,1
1.723568292934591e-05,0.476962881233559,0.5454656481237421,2.580285879473239e-05,1
1.006170413826335e-05,0.6248871921268052,0.7625691938740444,1.196683672655884e-05,0
1.19402681635573e-05,0.8537672281069921,0.6801944480520923,1.186757087776406e-05,1
5.591571873608497e-06,0.6271953471039957,0.6521986071321481,8.000308809779475e-06,0
3.797092903145705e-05,0.3825237558622475,0.4161132535156969,3.692000306473724e-05,1
5.119647982946521e-06,1.255854723959744,0.7438909399273262,5.091484879941557e-06,1
3.638023565938051e-06,1.371344919741023,0.8421779328793647,3.552111623904615e-06,0
1.138051615449852e-05,0.2596528871301859,0.3511412893276336,1.763712542268226e-05,0
1.379215442177962e-05,0.9791716632778092,0.639196180954703,1.203485200058526e-05,0
6.199748840035868e-06,1.285224982009029,0.7900199896571785,5.693910406393476e-06,1
1.08516455999385e-05,0.782774663899897,0.465405429277712,1.399718431488607e-05,1
5.818178040776227e-06,1.217763976693654,0.8495940832625327,6.269884955094627e-06,1
5.860695965447532e-06,1.037787788028949,0.6741966011395559,6.343099040037458e-06,1
7.884505678118337e-06,1.04506373957875,0.5073022690404481,1.397030062971245e-05,1
3.849839936173728e-06,1.531169949914666,0.8817234389399188,4.386559254322759e-06,1
3.201622930070799e-06,1.331658477891393,0.8064592801613415,3.253004452553932e-06,0
4.361194927561635e-06,1.461600714533993,0.8882181623098437,4.452294456631892e-06,0
3.068348474486661e-06,1.695776978500139,0.9019744076227896,2.935015956580328e-06,0
3.521508347724912e-06,1.34951191214627,0.8092551477323322,4.870936389282424e-06,0
2.662775209229032e-05,0.2982638891202946,0.4064221982187011,3.135985823594178e-05,1
1.32445512539417e-05,0.644912998718856,0.588034708435676,2.031986428911433e-05,1
3.624364582179147e-06,1.4885328985194,0.9224487392670402,3.735281503606256e-06,0
3.531932317305433e-06,1.488196269277952,0.6892963730552417,3.959167538253389e-06,1
7.304780537069534e-06,1.358053131167284,0.8558311643425178,7.9873040260324e-06,1
1.17405765680801e-05,0.8234178666070052,0.5242399876031848,1.790465146150111e-05,1
3.868062889796422e-06,1.583807992300071,0.9026731544576512,3.796953519566489e-06,0
5.875198361257291e-06,1.725523611408194,0.7824966698571109,6.588202826384061e-06,1
9.31156122476755e-06,1.457066465883306,0.7800152707059939,8.552329545776014e-06,1
1.980131517890376e-05,0.4066483983907356,0.5589617252388772,2.415362060516469e-05,1
4.663140070276406e-06,1.314040084213031,0.8072249587068376,4.590495927371951e-06,0
3.721480461983881e-06,1.610976555143544,0.944269280360415,3.89754846615541e-06,0
7.307398171319328e-06,1.025664640701481,0.6000404243679804,1.234967268157381e-05,1
1.450862245508589e-05,0.3420597715495363,0.8579490008861166,3.07296726819165e-05,1
6.518422142013577e-06,0.9345510880961508,0.6817266210870565,7.881248548806697e-06,1
1.360072174892755e-05,0.4719814506735312,0.4478828995284897,1.973644526138168e-05,0
4.135099689496114e-06,1.699585753565267,0.8586822028273636,5.067842559267404e-06,1
1.523002012350032e-05,0.6121160107678475,0.5967398148211622,1.715174096497945e-05,0
1.283366788514814e-05,1.013042661302828,0.6789114698033247,1.157720044327792e-05,1
7.663917415389544e-06,1.118911933734902,0.7527246622408608,7.74008446475714e-06,0
3.343357146775455e-06,1.424554631090507,0.7263353298285042,3.72081245960369e-06,1
2.427691795302487e-05,0.3141456940497501,0.4983323075092851,3.477988070494652e-05,1
5.97164613421352e-06,1.418590605095078,0.7754726567299832,5.034931587725392e-06,0
1.583485470417801e-05,0.6984037935860057,0.4730695801602508,1.468537474253349e-05,0
5.669045212696056e-06,0.8207711714828629,0.493938766452315,8.214166776872887e-06,0
